operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:11:47.985-0400,41.713753,-86.245835,188.26978675273733,5.425000190734863,5.474700450897217,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,222,6758411,2,851,1955.1,NaN,-103,-19,-65,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:11:52.986-0400,41.7137475,-86.2458357,187.22976862320226,5.426000118255615,3.5593364238739014,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,222,6758411,2,851,1955.1,NaN,-103,-19,-65,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:11:57.983-0400,41.7137438,-86.2458385,187.35810958866531,4.492000102996826,3.871325731277466,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,222,6758411,2,851,1955.1,NaN,-103,-19,-65,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:12:12.985-0400,41.7137352,-86.2458418,186.88109895983862,4.90500020980835,3.859302282333374,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:12:17.985-0400,41.7137323,-86.2458421,187.0090507675164,5.23199987411499,4.33257532119751,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:12:22.984-0400,41.7137302,-86.2458403,186.89606764710192,4.86899995803833,5.280955791473389,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:12:42.985-0400,41.7137242,-86.2458369,187.29154080058876,5.109000205993652,4.40303897857666,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-94,-9,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:12:47.986-0400,41.7137229,-86.2458387,186.8939873809212,5.940000057220459,5.064091682434082,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-94,-9,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:13:12.984-0400,41.7134661,-86.2463515,186.56975453129226,3.997999906539917,4.349963665008545,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,387,53299457,13,5230,751,NaN,-89,-9,-61,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:13:17.986-0400,41.7131024,-86.2463359,188.52512476047772,3.9489998817443848,4.698652267456055,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,387,53299457,13,5230,751,NaN,-89,-9,-61,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:17.985-0400,41.7101366,-86.2500523,186.23783824701388,4.03000020980835,4.775863170623779,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-83,-12,-53,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:22.983-0400,41.7101147,-86.2500093,186.3266080136631,4.211999893188477,4.892138957977295,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-83,-12,-53,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:27.984-0400,41.7101018,-86.2499969,187.10046741842118,4.366000175476074,4.564510345458984,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-83,-12,-53,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:42.985-0400,41.7101231,-86.2499828,185.7323593746059,3.9000000953674316,4.7711944580078125,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,287,184748311,66,66686,2135,NaN,-90,-9,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:47.982-0400,41.7101317,-86.2499772,186.10057599474905,3.9000000953674316,4.662301063537598,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,287,184748311,66,66686,2135,NaN,-90,-9,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:14:52.984-0400,41.7101309,-86.249976,186.15464873715132,3.937999963760376,4.905313968658447,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,287,184748311,66,66686,2135,NaN,-90,-9,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:15:12.987-0400,41.7088046,-86.250357,186.05453418989836,5.441999912261963,4.897533893585205,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,287,184748438,30,9820,2355,NaN,-97,-10,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:15:17.988-0400,41.7082442,-86.2503729,185.55087812784186,4.834000110626221,4.555164813995361,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,287,184748438,30,9820,2355,NaN,-97,-10,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:15:37.987-0400,41.7058457,-86.2503141,185.5329122588488,4.918000221252441,4.770686149597168,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,388,53299458,13,5230,751,NaN,-91,-11,-61,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:15:42.983-0400,41.7057324,-86.2503305,184.67762554595063,4.489999771118164,4.52390193939209,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,388,53299458,13,5230,751,NaN,-91,-11,-61,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:15:47.985-0400,41.7057012,-86.2503457,184.70237274188182,4.131999969482422,4.060394287109375,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,388,53299458,13,5230,751,NaN,-91,-11,-61,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:16:42.987-0400,41.7020043,-86.2502689,186.92191827101487,4.875,4.122234344482422,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-102,-17,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:16:47.994-0400,41.7009898,-86.2502138,187.30051166935542,5.0229997634887695,4.451920986175537,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-102,-17,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:16:52.987-0400,41.6999378,-86.2501962,187.61879371658742,4.883999824523926,4.63259220123291,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-102,-17,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:07.983-0400,41.6967443,-86.2502014,187.83866857900802,7.267000198364258,4.907410144805908,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-122,-18,-85,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:12.982-0400,41.6958506,-86.2503871,187.24369480795573,8.604000091552734,4.812425136566162,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-122,-18,-85,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:17.986-0400,41.6951891,-86.2506384,186.50177082446805,5.578999996185303,4.49934196472168,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-122,-18,-85,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:22.985-0400,41.6948644,-86.2507114,185.73956635721458,4.901000022888184,4.567455768585205,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-122,-18,-85,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:37.984-0400,41.6949036,-86.2507003,186.22315112368923,5.453000068664551,5.212507247924805,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,180,184567189,30,9820,2355,NaN,-105,-17,-71,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:42.983-0400,41.6949057,-86.2506982,186.27565336270627,5.77400016784668,4.403327941894531,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,180,184567189,30,9820,2355,NaN,-105,-17,-71,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:17:47.984-0400,41.6945114,-86.250791,185.92677729854023,5.76800012588501,4.677875518798828,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,180,184567189,30,9820,2355,NaN,-105,-17,-71,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:18:07.977-0400,41.6923358,-86.2507778,184.77972052115507,4.109000205993652,4.565903663635254,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,99,53272590,2,925,1962.5,NaN,-94,-12,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:18:12.981-0400,41.6916207,-86.2507668,181.9687934821317,4.104000091552734,4.31010103225708,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,99,53272590,2,925,1962.5,NaN,-94,-12,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:18:17.986-0400,41.6908926,-86.2507285,177.9525615863897,9.204000473022461,4.634154796600342,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,99,53272590,2,925,1962.5,NaN,-94,-12,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:18:22.981-0400,41.6903062,-86.2507379,173.30836451816705,6.644999980926514,5.687466144561768,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,99,53272590,2,925,1962.5,NaN,-94,-12,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:19:17.986-0400,41.687398,-86.2506804,173.3885498046875,4.11899995803833,4.695601940155029,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,347,6562061,2,851,1955.1,NaN,-97,-17,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:19:22.988-0400,41.6867681,-86.250666,171.79827559567843,3.9000000953674316,6.331232070922852,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,347,6562061,2,851,1955.1,NaN,-97,-17,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:19:27.986-0400,41.6862438,-86.2506436,170.01632301437144,4.005000114440918,5.252979278564453,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,347,6562061,2,851,1955.1,NaN,-97,-17,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:19:42.987-0400,41.6851001,-86.2507634,172.48465602959772,4.90500020980835,4.034118175506592,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-77,-17,-51,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-08T18:19:47.986-0400,41.6847488,-86.2505879,172.82763932995954,3.9189999103546143,5.028332233428955,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,237,184749080,66,66686,2135,NaN,-77,-17,-51,primary,
