operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:36:57.773-0400,41.7133898,-86.2465807,188.39999389648438,3.944000005722046,3.1787538528442383,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-95,-9,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:02.774-0400,41.7133987,-86.2465914,187.5,6.314000129699707,3.0453217029571533,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-95,-9,-67,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:22.773-0400,41.7133947,-86.2466013,187.5,6.197999954223633,2.8153364658355713,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,103,53278232,2,925,1962.5,NaN,-87,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:27.771-0400,41.7133947,-86.2466032,187.09999084472656,6.089000225067139,2.6293489933013916,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,103,53278232,2,925,1962.5,NaN,-87,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:32.770-0400,41.7133935,-86.2466014,187.5,5.396999835968018,2.6903414726257324,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,103,53278232,2,925,1962.5,NaN,-87,-10,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:47.773-0400,41.7133948,-86.2466003,187.5,5.377999782562256,2.7808432579040527,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-88,-13,-57,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:52.769-0400,41.7133949,-86.2466003,187.5,5.388999938964844,2.6434810161590576,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-88,-13,-57,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:37:57.770-0400,41.7133954,-86.2466002,187.5,6.203999996185303,2.4417381286621094,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,448,6562828,2,851,1955.1,NaN,-88,-13,-57,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:38:52.771-0400,41.7134023,-86.2465992,187.5,6.235000133514404,2.123767375946045,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-96,-13,-65,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-10T17:38:57.777-0400,41.7134029,-86.2465986,187.5,5.439000129699707,2.1111903190612793,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-96,-13,-65,primary,
