operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:07.559-0400,0,0,0,0,0,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-114,-11,-81,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:12.557-0400,41.6769237,-86.3022589,183.6999969482422,10.869000434875488,7.68120002746582,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-124,-13,-91,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:17.559-0400,41.6769237,-86.3022589,183.6999969482422,10.869000434875488,7.68120002746582,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-125,-13,-91,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:22.558-0400,41.6768353,-86.3022809,183.6999969482422,4.63100004196167,4.096401691436768,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-123,-13,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:27.559-0400,41.6768734,-86.3022742,183.6999969482422,9.109000205993652,4.22028923034668,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-125,-13,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:32.560-0400,41.6768978,-86.3022772,183.39999389648438,8.831999778747559,5.8788251876831055,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-126,-13,-91,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:37.560-0400,41.6769159,-86.302293,183.6999969482422,7.281000137329102,4.398480415344238,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-124,-12,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:42.558-0400,41.676935,-86.3023103,183.79998779296875,9.32800006866455,4.2654595375061035,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-125,-13,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:47.556-0400,41.6769291,-86.3023168,183.6999969482422,7.868000030517578,3.6838786602020264,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-126,-14,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T17:43:52.558-0400,41.6769296,-86.3023165,183.6999969482422,9.732000350952148,3.685850143432617,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,96,988674,48,55540,3580,NaN,-125,-13,-89,primary,
