operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:08.082-0400,0,0,0,0,0,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-119,-13,-87,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:13.076-0400,41.6993658,-86.2372294,178.79998779296875,12.907999992370605,1.096156358718872,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-119,-14,-87,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:13.076-0400,41.6993658,-86.2372294,178.79998779296875,12.907999992370605,1.096156358718872,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,438,NaN,2,700,1940,NaN,-134,-20,-103,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:18.077-0400,41.6993658,-86.2372294,178.79998779296875,12.907999992370605,1.096156358718872,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-119,-14,-87,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:18.077-0400,41.6993658,-86.2372294,178.79998779296875,12.907999992370605,1.096156358718872,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,438,NaN,2,700,1940,NaN,-134,-20,-103,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:23.078-0400,41.699351,-86.2372246,178.79998779296875,17.895999908447266,1.3468331098556519,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-120,-13,-87,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:23.078-0400,41.699351,-86.2372246,178.79998779296875,17.895999908447266,1.3468331098556519,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,438,NaN,2,700,1940,NaN,-134,-20,-103,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:28.078-0400,41.6993576,-86.2372224,178.79998779296875,13.444000244140625,1.1312965154647827,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-120,-13,-87,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:28.078-0400,41.6993576,-86.2372224,178.79998779296875,13.444000244140625,1.1312965154647827,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,438,NaN,2,700,1940,NaN,-134,-20,-103,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-18T17:02:33.084-0400,41.6993587,-86.2372258,178.79998779296875,13.720999717712402,1.1077167987823486,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,471,185544805,12,5110,739,NaN,-115,-12,-85,primary,
