operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:39.162-0400,0,0,0,0,0,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-114,-7,-87,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:39.162-0400,0,0,0,0,0,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-126,-12,-103,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:44.146-0400,41.6694929,-86.3126774,184.5,8.180000305175781,16.505929946899414,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-113,-7,-87,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:44.146-0400,41.6694929,-86.3126774,184.5,8.180000305175781,16.505929946899414,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-119,-8,-101,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:49.153-0400,41.6694929,-86.3126774,184.5,8.180000305175781,16.505929946899414,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-115,-8,-87,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:49.153-0400,41.6694929,-86.3126774,184.5,8.180000305175781,16.505929946899414,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-121,-9,-101,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:54.151-0400,41.6695248,-86.3127475,184.5,3.9000000953674316,17.597862243652344,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-116,-9,-85,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:54.151-0400,41.6695248,-86.3127475,184.5,3.9000000953674316,17.597862243652344,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-122,-9,-103,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:59.151-0400,41.6695236,-86.3127528,183.5,5.243000030517578,17.762876510620117,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-111,-9,-79,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:37:59.151-0400,41.6695236,-86.3127528,183.5,5.243000030517578,17.762876510620117,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-122,-9,-101,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:04.150-0400,41.6695238,-86.3127562,185.21971352275972,5.857999801635742,18.78585433959961,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-116,-10,-83,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:04.150-0400,41.6695238,-86.3127562,185.21971352275972,5.857999801635742,18.78585433959961,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-121,-9,-103,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:09.152-0400,41.66952,-86.3127595,184.57474179816793,5.866000175476074,18.514745712280273,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-116,-10,-85,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:09.152-0400,41.66952,-86.3127595,184.57474179816793,5.866000175476074,18.514745712280273,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-123,-9,-103,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:14.151-0400,41.6695198,-86.3127609,185.28208972707017,5.228000164031982,16.60062599182129,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-114,-7,-87,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:14.151-0400,41.6695198,-86.3127609,185.28208972707017,5.228000164031982,16.60062599182129,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-128,-13,-105,other,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:19.150-0400,41.6695202,-86.3127631,184.79998779296875,5.881999969482422,10.328080177307129,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,187,988417,48,55540,3580,NaN,-118,-8,-89,primary,
Nitro By Motorola Solutions,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-06T19:38:19.150-0400,41.6695202,-86.3127631,184.79998779296875,5.881999969482422,10.328080177307129,unknown,false,false,false,unknown,"N/A","[20000]",20000,lte,46,NaN,48,55740,3600,NaN,-133,-18,-107,other,
