operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:56:47.256-0400,41.7136979,-86.2457956,187.6999969482422,25.790000915527344,1.7771371603012085,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-100,-13,-69,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:56:52.218-0400,41.7137084,-86.2457979,187.6999969482422,27.121000289916992,1.5835049152374268,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-100,-13,-69,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:56:57.213-0400,41.7137046,-86.2457971,187.5,34.04999923706055,1.3358581066131592,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-100,-13,-69,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:57:02.217-0400,41.7137081,-86.2458016,187.5,32.79199981689453,1.2451802492141724,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,145,185542254,66,66686,2135,NaN,-100,-13,-69,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:57:22.214-0400,41.71371,-86.2457995,187.5,33.763999938964844,1.0193322896957397,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,387,53299468,66,66536,2120,NaN,-90,-10,-59,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:57:27.214-0400,41.7137104,-86.2457992,187.39999389648438,27.01799964904785,1.0000734329223633,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,387,53299468,66,66536,2120,NaN,-90,-10,-59,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:57:47.219-0400,41.7137127,-86.2457985,187.6999969482422,33.513999938964844,0.9451789855957031,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,55,63813387,2,851,1955.1,NaN,-100,-18,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:57:52.218-0400,41.7137152,-86.245798,187.5,26.91699981689453,0.9392778277397156,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,55,63813387,2,851,1955.1,NaN,-100,-18,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:58:42.221-0400,41.7137186,-86.2457968,187.39999389648438,34.75199890136719,1.1007765531539917,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-9,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:58:47.215-0400,41.7137189,-86.2457965,187.39999389648438,33.66600036621094,1.0956741571426392,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-9,-63,primary,
CBRS,CBRS,CBRS,7ed6caec-75dd-44bc-8e0d-634460c4384a,g0q,13,46-debug,2023-09-14T15:58:52.218-0400,41.713719,-86.2457963,187.39999389648438,25.933000564575195,1.0973734855651855,unknown,false,false,false,unknown,"N/A","[]",NaN,lte,8,185542238,2,700,1940,NaN,-93,-9,-63,primary,
