operator,sim_operator,carrier,device_id,device_model,android_ver,sigcap_ver,timestamp,latitude,longitude,altitude,hor_acc,ver_acc,nrStatus,nrAvailable,dcNrRestricted,enDcAvailable,nrFrequencyRange,usingCA,cellBandwidths,sumBw*,lte/nr,pci,lte-ci/nr-nci,band*,lte-earfcn/nr-arfcn,freq*,bandwidth,rsrp,rsrq,lte-rssi/nr-sinr,primary/other*,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:03.773-0400,0,0,0,0,0,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-120,-11,-91,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:08.769-0400,41.6993508,-86.2372167,178.79998779296875,13.973999977111816,1.029784083366394,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-114,-11,-83,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:08.769-0400,41.6993508,-86.2372167,178.79998779296875,13.973999977111816,1.029784083366394,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,438,NaN,2,700,1940,NaN,-132,-19,-105,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:13.769-0400,41.699359,-86.2372269,178.79998779296875,13.730999946594238,1.0841325521469116,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-114,-11,-83,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:13.769-0400,41.699359,-86.2372269,178.79998779296875,13.730999946594238,1.0841325521469116,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,438,NaN,2,700,1940,NaN,-132,-19,-105,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:18.774-0400,41.6993583,-86.2372213,178.79998779296875,13.604999542236328,1.0378108024597168,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-115,-11,-85,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:18.774-0400,41.6993583,-86.2372213,178.79998779296875,13.604999542236328,1.0378108024597168,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,438,NaN,2,700,1940,NaN,-132,-19,-105,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:23.771-0400,41.6993612,-86.2372489,178.79998779296875,12.987000465393066,1.0201958417892456,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-115,-11,-85,primary,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:23.771-0400,41.6993612,-86.2372489,178.79998779296875,12.987000465393066,1.0201958417892456,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,438,NaN,2,700,1940,NaN,-132,-19,-105,other,
CBRS,CBRS,CBRS,39d72bc8-fe4f-44b1-9f09-3e2f82885efa,p3q,13,46-debug,2023-09-14T21:01:28.778-0400,41.699364,-86.2372157,178.79998779296875,13.10099983215332,0.9987936615943909,unknown,false,false,false,unknown,"N/A","[10000]",10000,lte,471,185544805,12,5110,739,NaN,-113,-9,-87,primary,
